neighbourhood,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,host_duration_days,log_price,location_cluster
Outer Sunset,1,1,Entire home,Entire home/apt,2,1,140.0,4238,4.948759890378168,2
Bayview,5,1,Private room in home,Private room,2,1,52.0,270,3.970291913552122,3
Western Addition,4,1,Private room in rental unit,Private room,2,1,102.0,2401,4.634728988229636,1
Outer Sunset,1,1,Private room in home,Private room,2,1,72.0,264,4.290459441148391,2
Mission,20,1,Private room in rental unit,Private room,1,1,152.0,1112,5.030437921392435,1
Outer Richmond,6,1,Private room in rental unit,Private room,2,1,60.0,264,4.110873864173311,2
Russian Hill,14,1,Entire rental unit,Entire home/apt,4,2,181.0,1367,5.204006687076795,0
Western Addition,4,1,Private room in rental unit,Private room,2,1,154.0,2401,5.043425116919247,1
Ocean View,2,1,Private room in home,Private room,2,1,42.0,2121,3.7612001156935624,4
Inner Richmond,1,0,Private room in bed and breakfast,Private room,4,2,180.0,540,5.198497031265826,1
Outer Richmond,2,1,Entire guest suite,Entire home/apt,2,1,188.0,2947,5.241747015059643,2
Marina,1,1,Entire condo,Entire home/apt,6,3,500.0,262,6.2166061010848646,0
Mission,9,1,Private room in rental unit,Private room,1,1,86.0,1388,4.465908118654584,1
Western Addition,4,1,Private room in condo,Private room,2,1,107.0,2401,4.68213122712422,1
Bernal Heights,2,1,Private room in home,Private room,2,1,112.0,318,4.727387818712341,3
Potrero Hill,1,1,Entire rental unit,Entire home/apt,2,2,197.0,4125,5.288267030694535,3
South of Market,15,1,Room in boutique hotel,Private room,2,1,104.0,2571,4.653960350157523,0
Inner Richmond,1,1,Private room in rental unit,Private room,1,1,50.0,1617,3.9318256327243257,1
Pacific Heights,4,1,Private room in home,Private room,2,1,169.0,3480,5.135798437050262,1
South of Market,3,1,Room in hotel,Private room,2,1,10000.0,1626,9.210440366976517,0
South of Market,3,1,Room in hotel,Private room,2,2,10000.0,1626,9.210440366976517,0
South of Market,3,1,Room in hotel,Private room,2,1,10000.0,1626,9.210440366976517,0
Pacific Heights,4,1,Private room in home,Private room,2,1,208.0,3480,5.342334251964811,1
Nob Hill,55,1,Private room in home,Private room,2,1,50.0,1633,3.9318256327243257,0
Excelsior,1,1,Entire rental unit,Entire home/apt,4,2,135.0,714,4.912654885736052,3
Inner Sunset,1,0,Entire rental unit,Entire home/apt,2,1,127.0,4027,4.852030263919617,1
South of Market,3,1,Entire rental unit,Entire home/apt,1,1,143.0,3976,4.969813299576001,0
South of Market,1,1,Entire condo,Entire home/apt,2,1,195.0,2743,5.278114659230517,0
Potrero Hill,2,1,Entire rental unit,Entire home/apt,5,2,170.0,260,5.14166355650266,3
Pacific Heights,2,0,Entire home,Entire home/apt,4,2,495.0,4302,6.206575926724928,1
Chinatown,1,0,Entire rental unit,Entire home/apt,2,1,210.0,608,5.351858133476067,0
Haight Ashbury,1,1,Entire rental unit,Entire home/apt,6,3,226.0,4006,5.424950017481403,1
Bayview,4,1,Entire home,Entire home/apt,8,3,200.0,766,5.303304908059076,3
Bayview,4,1,Entire home,Entire home/apt,3,3,105.0,766,4.663439094112067,3
Nob Hill,1,1,Entire condo,Entire home/apt,4,2,550.0,297,6.311734809152915,0
Inner Sunset,1,1,Entire home,Entire home/apt,6,3,275.0,2460,5.62040086571715,2
Bernal Heights,2,1,Entire home,Entire home/apt,4,2,299.0,4040,5.703782474656201,3
