neighbourhood,latitude,longitude,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price
Mission,37.76082510952615,-122.41796214197512,2022-07-15,9,1,Private room in bed and breakfast,Private room,2,1,133.0,4.897839799950911
Western Addition,37.78069,-122.43167,2014-08-30,3,1,Private room in home,Private room,1,1,65.0,4.189654742026425
Castro/Upper Market,37.75932,-122.43759,2015-07-14,1,1,Private room in home,Private room,2,1,135.0,4.912654885736052
Chinatown,37.79111,-122.40585,2010-02-24,15,1,Room in boutique hotel,Private room,2,1,391.0,5.971261839790462
South of Market,37.78273,-122.389,2014-09-14,2,1,Private room in townhouse,Private room,1,1,172.0,5.153291594497779
Nob Hill,37.79077,-122.41039,2012-06-19,1,1,Private room in rental unit,Private room,1,1,67.0,4.219507705176107
Crocker Amazon,37.71094,-122.43134,2011-06-06,2,1,Entire home,Entire home/apt,6,5,239.0,5.480638923341991
Outer Sunset,37.75929,-122.48685,2015-10-15,5,1,Entire rental unit,Entire home/apt,4,1,98.0,4.59511985013459
Outer Richmond,37.77551,-122.48725,2014-08-05,1,1,Entire guest suite,Entire home/apt,3,1,298.0,5.700443573390687
Outer Mission,37.72401,-122.44045,2022-03-14,4,1,Private room in home,Private room,1,1,44.0,3.8066624897703196
Downtown/Civic Center,37.78741,-122.40814,2014-06-20,45,0,Room in boutique hotel,Private room,2,1,67.0,4.219507705176107
Western Addition,37.788170730343936,-122.42266839313768,2022-11-07,29,1,Room in hotel,Private room,2,1,102.0,4.634728988229636
Chinatown,37.79137,-122.40728,2016-01-23,24,1,Room in boutique hotel,Private room,2,1,255.0,5.545177444479562
Haight Ashbury,37.76457,-122.45057,2018-08-12,1,1,Entire rental unit,Entire home/apt,4,2,273.0,5.6131281063880705
West of Twin Peaks,37.7284095,-122.4575383,2016-07-26,6,1,Private room in home,Private room,1,1,57.0,4.060443010546419
Lakeshore,37.736842,-122.4875902,2022-10-26,1,1,Entire guest suite,Entire home/apt,5,3,199.0,5.298317366548036
Western Addition,37.77999,-122.43285,2016-04-13,9,1,Private room in bed and breakfast,Private room,2,1,258.0,5.556828061699537
Chinatown,37.79561105898439,-122.40838422274084,2020-02-11,9,1,Private room in rental unit,Private room,1,1,93.0,4.543294782270004
Mission,37.75186,-122.40847,2012-11-10,1,1,Entire rental unit,Entire home/apt,5,3,495.0,6.206575926724928
North Beach,37.80468,-122.40445,2014-11-25,4,1,Entire condo,Entire home/apt,3,2,375.0,5.929589143389895
Outer Richmond,37.77315,-122.50656,2018-02-08,6,1,Private room in townhouse,Private room,2,1,67.0,4.219507705176107
Financial District,37.79771,-122.39861,2016-10-19,3,1,Entire rental unit,Entire home/apt,4,2,150.0,5.017279836814924
Parkside,37.74351,-122.47472,2015-11-08,4,1,Private room in home,Private room,2,1,114.0,4.74493212836325
Western Addition,37.788260630962576,-122.43215210312844,2020-02-27,1,1,Private room in condo,Private room,2,1,121.0,4.804021044733257
West of Twin Peaks,37.73612,-122.45461,2022-06-22,1,1,Entire rental unit,Entire home/apt,2,1,204.0,5.3230099791384085
Russian Hill,37.80469,-122.42301,2018-09-30,7,0,Room in hotel,Private room,6,2,1250.0,7.1316985104669115
Marina,37.79906,-122.44642,2012-12-09,1,1,Entire condo,Entire home/apt,4,2,450.0,6.111467339502679
Western Addition,37.77296,-122.42525,2017-10-02,2,1,Private room in rental unit,Private room,2,1,109.0,4.700480365792417
Nob Hill,37.79381,-122.4117,2016-02-15,1,1,Entire condo,Entire home/apt,4,1,230.0,5.442417710521793
Crocker Amazon,37.71287,-122.44248,2017-11-21,5,0,Private room in guest suite,Private room,2,1,79.0,4.382026634673881
Castro/Upper Market,37.75908,-122.43516,2012-06-22,4,1,Entire townhouse,Entire home/apt,8,4,993.0,6.901737206656574
Outer Sunset,37.75962,-122.49753,2011-06-26,1,1,Entire home,Entire home/apt,5,3,750.0,6.621405651764134
South of Market,37.77963,-122.41298,2019-03-20,9,1,Room in boutique hotel,Hotel room,2,1,110.0,4.709530201312334
Western Addition,37.78487,-122.44063,2013-11-23,3,1,Private room in rental unit,Private room,1,1,64.0,4.174387269895637
Presidio,37.801,-122.44779,2013-12-29,1,1,Private room in home,Private room,2,1,155.0,5.049856007249537
Russian Hill,37.8012,-122.42292,2018-11-09,1,0,Entire home,Entire home/apt,8,4,500.0,6.2166061010848646
Pacific Heights,37.791873931884766,-122.4240493774414,2017-12-19,3,1,Entire condo,Entire home/apt,7,2,721.0,6.582025138892826
Western Addition,37.78288,-122.44062,2013-02-09,3,1,Private room in rental unit,Private room,1,0,89.0,4.499809670330265
Inner Richmond,37.78075,-122.47332,2014-01-16,1,1,Entire home,Entire home/apt,8,6,875.0,6.775366090936392
Outer Sunset,37.75618,-122.50657,2010-05-03,2,1,Entire rental unit,Entire home/apt,5,2,141.0,4.955827057601261
Downtown/Civic Center,37.78774,-122.41302,2019-10-18,6,1,Room in boutique hotel,Private room,2,1,265.0,5.583496308781699
Haight Ashbury,37.76942,-122.44991,2017-02-19,43,1,Shared room in hostel,Shared room,1,1,50.0,3.9318256327243257
Inner Richmond,37.78002,-122.45598,2016-04-19,1,1,Entire condo,Entire home/apt,4,2,262.0,5.572154032177765
Marina,37.80148,-122.43895,2017-06-14,1,0,Entire rental unit,Entire home/apt,5,3,625.0,6.439350371100098
Chinatown,37.79056,-122.4071,2016-01-23,24,1,Room in boutique hotel,Private room,2,1,265.0,5.583496308781699
Marina,37.7989366,-122.4455016,2023-04-27,1,1,Private room in bed and breakfast,Private room,2,1,1456.0,7.284134806195205
Haight Ashbury,37.76726,-122.44599,2015-12-02,1,1,Private room in home,Private room,2,1,125.0,4.836281906951478
Pacific Heights,37.79308992458561,-122.44256431468304,2014-05-21,4,1,Private room in home,Private room,2,1,208.0,5.342334251964811
Western Addition,37.77331,-122.42593,2012-05-31,3,1,Entire townhouse,Entire home/apt,6,5,253.0,5.537334267018537
Outer Mission,37.71195,-122.45067,2016-10-14,4,0,Private room in home,Private room,1,1,80.0,4.394449154672439
Chinatown,37.7907,-122.40632,2020-02-05,4,1,Room in boutique hotel,Private room,2,1,206.0,5.332718793265369
Haight Ashbury,37.76942,-122.44991,2017-02-19,43,1,Private room in hostel,Private room,2,1,100.0,4.61512051684126
Downtown/Civic Center,37.77946,-122.42291,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,165.0,5.111987788356544
Castro/Upper Market,37.75927,-122.4308,2019-01-07,3,1,Entire condo,Entire home/apt,2,2,320.0,5.771441123130016
Downtown/Civic Center,37.78899002075195,-122.41278839111328,2013-04-07,29,1,Private room in resort,Private room,4,2,550.0,6.311734809152915
North Beach,37.80596,-122.41263,2016-07-10,1,1,Entire townhouse,Entire home/apt,4,2,500.0,6.2166061010848646
Outer Mission,37.71027,-122.44955,2015-08-03,1,1,Private room in home,Private room,2,1,60.0,4.110873864173311
Inner Sunset,37.76514,-122.46098,2018-01-04,2,1,Private room in rental unit,Private room,1,1,139.0,4.941642422609304
Western Addition,37.77743,-122.42502,2012-10-25,6,1,Entire rental unit,Entire home/apt,2,1,120.0,4.795790545596741
Diamond Heights,37.74325,-122.43756,2011-08-26,1,1,Entire home,Entire home/apt,8,5,359.0,5.886104031450156
Diamond Heights,37.73666,-122.44309,2016-03-06,1,1,Entire home,Entire home/apt,7,5,525.0,6.26530121273771
Parkside,37.73929238826022,-122.47799265475622,2012-06-07,2,1,Private room in home,Private room,2,1,115.0,4.7535901911063645
Western Addition,37.78321,-122.43556,2015-12-11,1,1,Entire condo,Entire home/apt,4,2,169.0,5.135798437050262
Excelsior,37.72358,-122.4176,2019-01-15,4,0,Entire guest suite,Entire home/apt,5,3,104.0,4.653960350157523
Western Addition,37.78796,-122.43105,2021-02-08,3,0,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478
Outer Mission,37.71616,-122.44686,2015-12-18,1,1,Private room in guest suite,Private room,2,1,100.0,4.61512051684126
Outer Mission,37.71586,-122.44468,2018-11-09,1,1,Entire home,Entire home/apt,5,3,108.0,4.6913478822291435
Western Addition,37.77064,-122.42554,2020-05-24,1,0,Entire rental unit,Entire home/apt,4,2,58.0,4.07753744390572
Western Addition,37.78031,-122.4354,2011-10-17,2,1,Entire guest suite,Entire home/apt,2,1,185.0,5.225746673713202
Downtown/Civic Center,37.78889,-122.41131,2015-12-24,43,1,Entire rental unit,Entire home/apt,4,2,265.0,5.583496308781699
Twin Peaks,37.74854,-122.44976,2019-08-21,1,0,Entire home,Entire home/apt,5,3,159.0,5.075173815233827
Outer Sunset,37.7613229,-122.4965406,2016-01-04,1,1,Private room in loft,Private room,2,1,139.0,4.941642422609304
Twin Peaks,37.74932,-122.44706,2015-11-06,1,1,Entire home,Entire home/apt,6,3,359.0,5.886104031450156
Parkside,37.74462,-122.48958,2015-06-09,4,1,Private room in home,Private room,2,1,57.0,4.060443010546419
Downtown/Civic Center,37.78806,-122.40891,2018-02-13,61,1,Room in boutique hotel,Private room,2,1,170.0,5.14166355650266
Downtown/Civic Center,37.78792,-122.40773,2018-02-13,61,1,Room in boutique hotel,Private room,2,1,170.0,5.14166355650266
Inner Richmond,37.77944,-122.45332,2017-10-28,1,0,Private room in home,Private room,6,3,250.0,5.5254529391317835
Pacific Heights,37.79024,-122.43743,2020-12-21,4,1,Entire rental unit,Entire home/apt,2,1,200.0,5.303304908059076
Pacific Heights,37.7894,-122.43665,2020-12-21,4,1,Entire rental unit,Entire home/apt,1,1,175.0,5.170483995038151
Marina,37.80274,-122.42539,2014-04-10,1,0,Private room in rental unit,Private room,1,1,63.0,4.1588830833596715
Presidio Heights,37.7912,-122.44808,2021-02-08,4,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478
Western Addition,37.77028,-122.43317,2008-07-31,1,1,Entire serviced apartment,Entire home/apt,3,2,204.0,5.3230099791384085
Twin Peaks,37.74764,-122.44752,2014-05-31,1,1,Entire home,Entire home/apt,6,3,592.0,6.385194398997726
Western Addition,37.788857,-122.431938,2021-02-08,4,1,Entire rental unit,Entire home/apt,4,1,135.0,4.912654885736052
Diamond Heights,37.73648311306419,-122.44084445251669,2014-08-27,1,1,Entire home,Entire home/apt,3,2,200.0,5.303304908059076
West of Twin Peaks,37.73222,-122.46171,2013-07-16,2,1,Private room in home,Private room,4,3,136.0,4.919980925828125
Downtown/Civic Center,37.78571,-122.40873,2019-06-20,4,1,Room in boutique hotel,Private room,2,1,263.0,5.575949103146316
Financial District,37.79511,-122.40072,2019-06-13,1,1,Room in boutique hotel,Private room,2,1,248.0,5.517452896464707
Glen Park,37.73656,-122.43922,2012-12-22,3,1,Entire home,Entire home/apt,7,3,456.0,6.124683390894205
Lakeshore,37.7232175,-122.4745207,2022-12-20,1,1,Entire guesthouse,Entire home/apt,3,1,106.0,4.672828834461906
Western Addition,37.7757,-122.42966,2013-10-28,1,1,Entire rental unit,Entire home/apt,4,2,142.0,4.962844630259907
Western Addition,37.7714,-122.42935,2010-09-16,1,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478
Mission,37.76065,-122.42003,2019-11-26,1,1,Private room in condo,Private room,1,1,150.0,5.017279836814924
Mission,37.75065,-122.41212,2011-08-28,4,0,Entire rental unit,Entire home/apt,6,3,236.0,5.4680601411351315
Parkside,37.745513916015625,-122.49066162109376,2017-06-07,5,1,Entire rental unit,Entire home/apt,4,2,135.0,4.912654885736052
Pacific Heights,37.78959,-122.43683,2012-04-24,1,1,Entire condo,Entire home/apt,2,1,120.0,4.795790545596741
Presidio,37.79659121783463,-122.44718270570492,2023-03-08,1,1,Entire home,Entire home/apt,3,2,226.0,5.424950017481403
South of Market,37.78421,-122.40644,2019-10-22,5,1,Room in boutique hotel,Private room,2,1,298.0,5.700443573390687
Haight Ashbury,37.76477,-122.44597,2015-04-02,3,1,Private room in home,Private room,2,1,220.0,5.3981627015177525
Haight Ashbury,37.7708,-122.44369,2017-02-19,43,1,Shared room in hostel,Shared room,1,1,79.0,4.382026634673881
Haight Ashbury,37.77275,-122.44489,2017-02-19,43,1,Shared room in hostel,Shared room,1,1,39.0,3.6888794541139363
Marina,37.8054,-122.44376,2015-03-08,2,1,Entire rental unit,Entire home/apt,4,2,125.0,4.836281906951478
Mission,37.77061,-122.42416,2013-07-21,3,1,Entire rental unit,Entire home/apt,1,1,245.0,5.5053315359323625
Western Addition,37.7713,-122.43519,2014-06-27,1,1,Entire rental unit,Entire home/apt,3,1,105.0,4.663439094112067
Nob Hill,37.79109,-122.41421,2010-07-15,1,0,Entire rental unit,Entire home/apt,1,1,125.0,4.836281906951478
Western Addition,37.77315,-122.42634,2011-06-23,1,1,Entire home,Entire home/apt,2,1,199.0,5.298317366548036
Lakeshore,37.73352,-122.48224,2015-09-20,1,1,Private room in home,Private room,4,1,100.0,4.61512051684126
Downtown/Civic Center,37.78527,-122.40864,2019-06-04,8,1,Room in boutique hotel,Hotel room,2,1,209.0,5.3471075307174685
Nob Hill,37.79404,-122.42037,2019-06-11,10,1,Room in boutique hotel,Private room,2,1,220.0,5.3981627015177525
Downtown/Civic Center,37.78856,-122.41952,2016-11-04,12,1,Shared room in hostel,Shared room,1,1,37.0,3.6375861597263857
Downtown/Civic Center,37.78707,-122.41269,2019-10-18,10,0,Room in boutique hotel,Private room,2,1,255.0,5.545177444479562
Chinatown,37.79102,-122.40678,2020-02-05,4,1,Room in boutique hotel,Private room,4,2,233.0,5.455321115357702
Haight Ashbury,37.76579666137695,-122.45222473144533,2009-06-17,14,1,Private room in rental unit,Private room,1,1,55.0,4.02535169073515
Outer Mission,37.72991,-122.44753,2012-08-24,3,1,Entire guest suite,Entire home/apt,2,1,133.0,4.897839799950911
Nob Hill,37.78958,-122.41844,2019-04-06,30,0,Room in aparthotel,Private room,2,1,86.0,4.465908118654584
Outer Mission,37.730790973570166,-122.44898579706484,2023-02-28,2,1,Entire home,Entire home/apt,5,3,241.0,5.488937726156687
Crocker Amazon,37.70959,-122.43903,2016-08-19,1,1,Entire rental unit,Entire home/apt,4,2,186.0,5.231108616854587
Downtown/Civic Center,37.789551,-122.411423,2017-12-14,4,1,Room in hotel,Private room,2,1,370.0,5.916202062607435
Parkside,37.74572,-122.47477,2013-06-24,1,1,Private room in guest suite,Private room,2,1,167.0,5.123963979403259
Western Addition,37.78435,-122.44117,2014-07-03,3,1,Entire home,Entire home/apt,4,3,125.0,4.836281906951478
Outer Sunset,37.76358,-122.47968,2016-03-07,21,1,Private room in rental unit,Private room,4,2,66.0,4.204692619390966
Haight Ashbury,37.77229,-122.44747,2012-07-24,1,1,Entire guest suite,Entire home/apt,2,1,192.0,5.262690188904886
Western Addition,37.77058,-122.42743,2017-07-31,1,1,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924
Haight Ashbury,37.76299,-122.44985,2011-10-03,1,1,Entire home,Entire home/apt,6,4,400.0,5.993961427306569
Parkside,37.74102,-122.48331,2015-06-07,1,1,Entire guest suite,Entire home/apt,2,1,130.0,4.875197323201151
Outer Mission,37.71635,-122.44563,2011-11-27,2,1,Entire home,Entire home/apt,6,4,143.0,4.969813299576001
Outer Sunset,37.75369,-122.47782,2011-06-14,1,1,Entire rental unit,Entire home/apt,4,3,250.0,5.5254529391317835
Inner Richmond,37.77588,-122.46895,2017-04-28,30,1,Entire rental unit,Entire home/apt,4,2,130.0,4.875197323201151
Pacific Heights,37.79213,-122.4433,2019-09-04,2,1,Room in boutique hotel,Private room,2,1,608.0,6.411818267709897
Western Addition,37.77034,-122.43594,2010-11-06,2,1,Entire home,Entire home/apt,6,4,546.0,6.304448802421981
Parkside,37.73937,-122.47785,2012-06-07,2,1,Entire home,Entire home/apt,6,3,336.0,5.820082930352362
Twin Peaks,37.75309,-122.44361,2018-06-02,1,1,Entire rental unit,Entire home/apt,4,2,423.0,6.049733455231958
Castro/Upper Market,37.76049,-122.4414,2020-08-03,1,1,Entire guest suite,Entire home/apt,3,2,283.0,5.648974238161206
Western Addition,37.775356,-122.4333424,2012-01-08,1,1,Entire home,Entire home/apt,9,5,1000.0,6.90875477931522
Western Addition,37.77302,-122.43647,2012-05-27,5,1,Entire rental unit,Entire home/apt,4,2,200.0,5.303304908059076
Haight Ashbury,37.7694,-122.44749,2011-07-19,2,1,Entire rental unit,Entire home/apt,7,4,260.0,5.564520407322694
Western Addition,37.77097,-122.43218,2013-09-27,1,1,Entire home,Entire home/apt,5,3,260.0,5.564520407322694
Western Addition,37.77517419511488,-122.42755065762118,2022-03-22,11,1,Entire rental unit,Entire home/apt,2,1,180.0,5.198497031265826
Haight Ashbury,37.77004,-122.44464,2018-10-26,2,1,Entire rental unit,Entire home/apt,9,5,299.0,5.703782474656201
Western Addition,37.78785,-122.4319,2010-03-29,2,1,Entire home,Entire home/apt,8,4,1342.0,7.202661196523238
Twin Peaks,37.75322,-122.44451,2011-06-01,2,1,Entire condo,Entire home/apt,4,2,325.0,5.786897381366708
Marina,37.80497,-122.4369,2012-07-28,1,1,Entire home,Entire home/apt,6,4,1317.0,7.183870715062453
Outer Mission,37.71486,-122.44832,2013-06-05,1,1,Entire home,Entire home/apt,2,1,180.0,5.198497031265826
Haight Ashbury,37.77097449131959,-122.44530219106804,2018-06-28,1,1,Entire rental unit,Entire home/apt,4,2,200.0,5.303304908059076
Ocean View,37.72199,-122.45885,2017-05-24,2,1,Entire guesthouse,Entire home/apt,2,1,55.0,4.02535169073515
Haight Ashbury,37.77476,-122.44305,2014-07-17,1,1,Entire condo,Entire home/apt,4,2,140.0,4.948759890378168
Inner Sunset,37.76556,-122.45332,2015-09-11,7,1,Entire condo,Entire home/apt,2,1,175.0,5.170483995038151
Inner Sunset,37.76411,-122.47288,2016-05-31,2,1,Entire home,Entire home/apt,2,2,245.0,5.5053315359323625
Lakeshore,37.7308,-122.47926,2012-06-24,1,1,Entire rental unit,Entire home/apt,4,2,194.0,5.272999558563747
Haight Ashbury,37.765,-122.44904,2017-04-28,30,1,Entire rental unit,Entire home/apt,3,2,107.0,4.68213122712422
Inner Sunset,37.75876,-122.46663,2011-04-10,1,1,Entire home,Entire home/apt,4,2,183.0,5.214935757608986
Inner Sunset,37.76271,-122.45419,2016-02-04,1,1,Entire home,Entire home/apt,2,1,110.0,4.709530201312334
Financial District,37.78849,-122.39594,2016-07-31,1,0,Entire rental unit,Entire home/apt,4,2,300.0,5.707110264748875
Nob Hill,37.79122,-122.40958,2016-05-06,46,1,Entire condo,Entire home/apt,2,1,95.0,4.564348191467836
Western Addition,37.78059,-122.43075,2016-02-18,1,0,Entire townhouse,Entire home/apt,6,4,295.0,5.69035945432406
Western Addition,37.78559,-122.44361,2019-04-05,3,1,Entire rental unit,Entire home/apt,4,3,157.0,5.062595033026967
Castro/Upper Market,37.76071,-122.44102,2012-02-20,1,1,Entire condo,Entire home/apt,5,2,349.0,5.857933154483459
Haight Ashbury,37.77174,-122.43831,2012-05-27,5,1,Entire rental unit,Entire home/apt,3,2,225.0,5.420534999272286
Downtown/Civic Center,37.77966,-122.42197,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,92.0,4.532599493153256
Lakeshore,37.73127,-122.49066,2011-09-12,2,1,Private room in rental unit,Private room,2,1,90.0,4.51085950651685
Haight Ashbury,37.77447,-122.44298,2010-04-12,1,1,Entire rental unit,Entire home/apt,5,2,306.0,5.726847747587197
Russian Hill,37.80459,-122.42072,2018-02-08,1,0,Entire rental unit,Entire home/apt,8,5,325.0,5.786897381366708
Excelsior,37.72254,-122.43443,2015-07-21,1,1,Entire rental unit,Entire home/apt,6,3,148.0,5.003946305945459
Nob Hill,37.79161,-122.42051,2019-06-11,55,1,Private room in home,Private room,2,0,60.0,4.110873864173311
Western Addition,37.77403,-122.42561,2017-10-02,2,1,Entire rental unit,Entire home/apt,4,2,395.0,5.981414211254481
Inner Richmond,37.77585,-122.46413,2011-01-14,1,1,Entire home,Entire home/apt,2,2,90.0,4.51085950651685
Inner Sunset,37.76167,-122.47198,2016-02-17,1,0,Entire guest suite,Entire home/apt,2,2,125.0,4.836281906951478
Inner Richmond,37.77983,-122.47415,2016-05-29,1,1,Entire guest suite,Entire home/apt,4,3,241.0,5.488937726156687
South of Market,37.77846,-122.40574,2018-05-09,2,1,Shared room in home,Shared room,1,1,33.0,3.5263605246161616
Downtown/Civic Center,37.78557,-122.41064,2016-06-09,8,0,Private room in hostel,Private room,3,3,85.0,4.454347296253507
Western Addition,37.77907,-122.43712,2011-10-17,2,1,Entire rental unit,Entire home/apt,6,3,572.0,6.35088571671474
Lakeshore,37.71067,-122.48336,2014-04-13,1,1,Entire condo,Entire home/apt,3,1,185.0,5.225746673713202
Haight Ashbury,37.76645,-122.44793,2017-01-12,1,1,Entire guest suite,Entire home/apt,4,2,250.0,5.5254529391317835
Marina,37.80528,-122.442,2015-09-30,2,1,Entire home,Entire home/apt,2,1,172.0,5.153291594497779
Haight Ashbury,37.77382,-122.44677,2017-04-19,8,1,Entire condo,Entire home/apt,4,2,300.0,5.707110264748875
Ocean View,37.72187,-122.45456,2017-04-28,30,1,Entire rental unit,Entire home/apt,4,3,120.0,4.795790545596741
Marina,37.8022,-122.437,2013-08-22,4,1,Entire rental unit,Entire home/apt,10,5,260.0,5.564520407322694
Haight Ashbury,37.765819,-122.452055,2014-01-31,7,1,Entire condo,Entire home/apt,8,5,306.0,5.726847747587197
Mission,37.76584,-122.41855,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,88.0,4.48863636973214
Western Addition,37.7775,-122.44223,2013-01-15,1,1,Entire condo,Entire home/apt,2,1,200.0,5.303304908059076
Downtown/Civic Center,37.78712,-122.413,2019-10-18,6,1,Room in boutique hotel,Private room,2,1,245.0,5.5053315359323625
Inner Richmond,37.7808,-122.46961,2022-11-08,3,0,Private room in home,Private room,2,1,109.0,4.700480365792417
Castro/Upper Market,37.75709,-122.4409,2015-08-28,2,1,Private room in condo,Private room,1,1,85.0,4.454347296253507
Marina,37.80606,-122.43922,2018-07-28,2,1,Entire home,Entire home/apt,10,7,2625.0,7.873217054862741
Inner Richmond,37.78246,-122.47408,2014-11-13,28,1,Private room in rental unit,Private room,2,0,80.0,4.394449154672439
Inner Richmond,37.77501,-122.46337,2013-06-24,5,0,Entire rental unit,Entire home/apt,1,1,90.0,4.51085950651685
Inner Richmond,37.7807638,-122.4764602,2019-12-10,5,1,Entire rental unit,Entire home/apt,9,5,267.0,5.5909869805108565
Castro/Upper Market,37.75955,-122.43877,2012-08-26,3,1,Private room in rental unit,Private room,1,1,89.0,4.499809670330265
Twin Peaks,37.7567471,-122.4457196,2019-08-18,1,1,Entire rental unit,Entire home/apt,2,1,170.0,5.14166355650266
Twin Peaks,37.75081,-122.44449,2014-08-27,1,1,Entire rental unit,Entire home/apt,7,2,117.0,4.770684624465665
South of Market,37.77943,-122.39673,2019-10-29,9,1,Private room in serviced apartment,Private room,2,1,99.0,4.605170185988092
Downtown/Civic Center,37.78809,-122.41176,2019-11-02,1,1,Entire serviced apartment,Entire home/apt,4,2,220.0,5.3981627015177525
Haight Ashbury,37.7653,-122.44573,2012-09-26,1,1,Entire condo,Entire home/apt,2,1,160.0,5.081404364984463
Excelsior,37.72696,-122.41991,2018-12-11,4,1,Private room in home,Private room,1,1,99.0,4.605170185988092
Inner Richmond,37.78384,-122.47591,2014-11-13,28,1,Private room in rental unit,Private room,2,0,60.0,4.110873864173311
Outer Richmond,37.78349,-122.48382,2020-09-20,1,0,Entire condo,Entire home/apt,6,3,180.0,5.198497031265826
Inner Sunset,37.75495,-122.46014,2012-06-17,1,1,Entire guest suite,Entire home/apt,1,1,67.0,4.219507705176107
Outer Sunset,37.76486,-122.47757,2016-03-07,21,1,Private room in rental unit,Private room,4,1,59.0,4.0943445622221
South of Market,37.77673,-122.40949,2018-11-14,3,1,Private room in condo,Private room,1,1,57.0,4.060443010546419
Downtown/Civic Center,37.78718,-122.40992,2019-10-22,3,1,Room in boutique hotel,Private room,2,1,188.0,5.241747015059643
Inner Richmond,37.78558,-122.46509,2011-08-18,16,1,Entire rental unit,Entire home/apt,3,2,150.0,5.017279836814924
Western Addition,37.7732096,-122.4251991,2011-10-13,1,1,Entire condo,Entire home/apt,3,3,130.0,4.875197323201151
South of Market,37.78088,-122.39452,2014-10-02,1,1,Entire rental unit,Entire home/apt,4,2,180.0,5.198497031265826
Ocean View,37.71522,-122.45227,2016-04-11,1,0,Entire home,Entire home/apt,4,2,189.0,5.247024072160486
Twin Peaks,37.75811,-122.444389,2014-10-28,3,1,Entire home,Entire home/apt,4,2,426.0,6.056784013228625
Outer Sunset,37.76507,-122.47958,2013-06-08,1,1,Entire home,Entire home/apt,8,4,332.0,5.808142489980444
Potrero Hill,37.76001,-122.39056,2015-08-12,1,1,Private room in rental unit,Private room,4,4,155.0,5.049856007249537
Western Addition,37.77473,-122.43182,2017-04-28,30,1,Entire rental unit,Entire home/apt,5,4,140.0,4.948759890378168
Haight Ashbury,37.7656988,-122.4520391,2014-01-31,7,1,Entire rental unit,Entire home/apt,2,2,195.0,5.278114659230517
Outer Richmond,37.77737,-122.47985,2009-11-10,2,1,Entire rental unit,Entire home/apt,2,2,95.0,4.564348191467836
Castro/Upper Market,37.76067,-122.4389,2011-10-02,2,0,Private room in rental unit,Private room,5,2,350.0,5.860786223465865
Ocean View,37.712471,-122.457535,2021-12-13,1,1,Entire home,Entire home/apt,6,3,250.0,5.5254529391317835
Haight Ashbury,37.75939308083096,-122.4505328111145,2014-08-07,1,1,Entire home,Entire home/apt,8,4,350.0,5.860786223465865
Outer Sunset,37.754560160652495,-122.47936870386825,2023-02-09,1,1,Entire home,Entire home/apt,6,3,220.0,5.3981627015177525
Outer Mission,37.72763,-122.43975,2014-09-16,1,1,Entire rental unit,Entire home/apt,5,3,455.0,6.1224928095143865
Lakeshore,37.73167,-122.47795,2021-04-09,1,1,Entire guest suite,Entire home/apt,8,4,254.0,5.541263545158426
Inner Richmond,37.77564,-122.46332,2013-12-26,5,1,Private room in home,Private room,3,2,180.0,5.198497031265826
Inner Richmond,37.7835,-122.47445,2012-04-10,1,1,Private room in guest suite,Private room,5,2,196.0,5.2832037287379885
Inner Sunset,37.7571,-122.45507,2014-12-22,4,1,Entire guest suite,Entire home/apt,6,4,1000.0,6.90875477931522
Outer Richmond,37.78253,-122.48025,2017-11-09,25,0,Private room in rental unit,Private room,1,0,53.0,3.9889840465642745
Outer Richmond,37.77681,-122.481,2013-12-02,3,1,Entire rental unit,Entire home/apt,6,3,275.0,5.62040086571715
Ocean View,37.71419,-122.46089,2011-08-03,1,1,Entire home,Entire home/apt,6,3,385.0,5.955837369464831
Outer Mission,37.71522,-122.44366,2016-04-27,1,1,Entire home,Entire home/apt,7,4,247.0,5.5134287461649825
Castro/Upper Market,37.75621,-122.43847,2013-04-15,1,1,Entire home,Entire home/apt,8,4,400.0,5.993961427306569
Nob Hill,37.792,-122.41868,2019-06-11,55,1,Private room in home,Private room,2,0,60.0,4.110873864173311
Outer Mission,37.71523,-122.44215,2023-05-05,9,1,Shared room in home,Shared room,1,1,28.0,3.367295829986474
Castro/Upper Market,37.76159,-122.44218,2015-04-07,1,1,Entire home,Entire home/apt,2,1,545.0,6.302618975744905
Outer Mission,37.71651,-122.44264,2023-05-05,9,1,Shared room in home,Shared room,1,1,25.0,3.258096538021482
Crocker Amazon,37.71511,-122.44119,2023-05-05,9,1,Shared room in home,Shared room,1,1,23.0,3.1780538303479458
Castro/Upper Market,37.76214,-122.44474,2014-06-17,2,1,Entire townhouse,Entire home/apt,6,2,2195.0,7.694392802629421
Inner Sunset,37.761146539849214,-122.47405626403824,2022-10-03,2,1,Private room in home,Private room,2,1,65.0,4.189654742026425
Downtown/Civic Center,37.78394,-122.40849,2019-06-04,8,1,Room in boutique hotel,Hotel room,2,1,209.0,5.3471075307174685
